n,d,m,ncu_total_flops_fwd,theoretical_total_flops_fwd,percent_diff_fwd,ncu_total_flops_bwd,theoretical_total_flops_bwd,percent_diff_bwd,omega_fwd,rho_fwd,kappa_fwd,omega_bwd,rho_bwd,kappa_bwd
8,896,192,2497903397.0,2467627008,1.2269434927501004,4650697557.0,4626800640,0.5164890138858458,0.00390625,0.0,14.9990968250093,0.002951388888888795,3.3717591300843255,0.6000000000000001
8,896,208,3325033007.0,2673262592,24.381084632332296,5571493655.0,5012367360,11.154934481897193,0.23557692307692313,0.0,14.999001303871909,0.11121794871794877,0.10541115785256411,0.6000000000000001
8,896,224,3326868178.0,2878898176,15.56046704723745,5777382105.0,5397934080,7.0295046100303615,0.1473214285714286,0.0,14.999174156967474,0.06994047619047628,0.10568432451105442,0.6000000000000001
8,896,240,3328702986.0,3084533760,7.915920038430703,5983270555.0,5783500800,3.454132054412442,0.0708333333333333,0.0,14.999112955729167,0.03416666666666668,0.1059210689484127,0.6000000000000001
8,896,256,3330537771.0,3290169344,1.226940706672635,6189154428.0,6169067520,0.3256068755104175,0.00390625,0.0,14.999046870640345,0.0028645833333333925,0.10479794456845239,0.6000000000000001
8,1024,16,554827522.0,268566528,106.58848521882815,752620000.0,503562240,49.459181053766066,1.0546875,9.0,14.998062133789062,0.4906250000000001,8.018619791666667,0.6000000000000001
8,1024,32,558104190.0,537133056,3.9042717192218386,1023414752.0,1007124480,1.6175033298763624,0.02734375,9.0,14.998527526855469,0.011979166666666652,8.009309895833333,0.6000000000000001
8,1024,48,1096678704.0,805699584,36.11508877234322,1761219040.0,1510686720,16.58400227414457,0.3515625,5.0,14.9981689453125,0.1635416666666667,4.272873263888889,0.6000000000000001
8,1024,64,1099431012.0,1074266112,2.342520137133396,2031096288.0,2014248960,0.8364074319790141,0.013671875,5.0,14.998237609863281,0.005989583333333437,4.271321614583333,0.6000000000000001
8,1024,80,1634073382.0,1342832640,21.68853610826737,3244167648.0,2517811200,28.848725750366032,0.20820312500000004,3.0,14.998104858398438,0.2862499999999999,4.270390625,0.6000000000000001
8,1024,96,1636563457.0,1611399168,1.5616421740637265,3514044896.0,3021373440,16.306208609552087,0.0068359375,3.0,14.998048146565756,0.16076388888888893,4.269769965277778,0.6000000000000001
8,1024,112,2179594564.0,1879965696,15.937996562252167,3783922144.0,3524935680,7.34726779468498,0.1506696428571428,3.0,14.998120989118304,0.07113095238095246,4.269326636904762,0.6000000000000001
8,1024,128,2182084742.0,2148532224,1.5616483488217863,4053871088.0,4028497920,0.6298419039521311,0.0068359375,3.0,14.998174667358398,0.00390625,4.305460611979167,0.6000000000000001
8,1024,144,2725115857.0,2417098752,12.743256962303873,5256285618.0,4532060160,15.980049523437923,0.11870659722222232,3.0,14.998224046495226,0.15953414351851847,0.10528880931712963,0.6000000000000001
8,1024,160,2727605844.0,2685665280,1.5616452397225018,5525139828.0,5035622400,9.721090842712908,0.0068359375,3.0,14.998110961914062,0.09691406250000001,0.1051513671875,0.6000000000000001
8,1024,176,3255301798.0,2954231808,10.191143064153211,5793994038.0,5539184640,4.600124649392442,0.09463778409090917,0.0,14.99833956631747,0.045679450757575735,0.10503891453598485,0.6000000000000001
8,1024,192,3257398515.0,3222798336,1.0736067042576505,6062848248.0,6042746880,0.3326528216253864,0.00341796875,0.0,14.998201370239258,0.002983940972222321,0.10494520399305556,0.6000000000000001
8,1024,208,4336907278.0,3491364864,24.218105151899703,6803070138.0,6546309120,3.9222256892140166,0.23497596153846145,0.0,14.99820533165565,0.03889723557692304,0.10486591045673077,0.6000000000000001
8,1024,224,4339004262.0,3759931392,15.401155224057876,7071924348.0,7049871360,0.3128140482835704,0.1467633928571428,0.0,14.998241969517299,0.002785528273809623,0.10479794456845239,0.6000000000000001
8,1024,240,4341101166.0,4028497920,7.759796634076455,7812146238.0,7553433600,3.425099785083171,0.0703125,0.0,14.998233032226562,0.033923611111111196,0.10473904079861111,0.6000000000000001
8,1024,256,4343198078.0,4297064448,1.0736080540163218,8081000448.0,8056995840,0.2979349682772084,0.00341796875,0.0,14.998229026794434,0.0026367187500000444,0.1046875,0.6000000000000001
8,1152,16,810712608.0,339886080,138.52480454627621,951298528.0,637286400,49.273313850727085,1.3758680555555554,8.0,14.996744791666666,0.48940972222222223,7.549884259259259,0.6000000000000001
8,1152,32,814251087.0,679772160,19.782941243136523,1293562336.0,1274572800,1.4898745681690366,0.18793402777777768,8.0,14.996795654296875,0.011371527777777724,7.5416087962962965,0.6000000000000001
8,1152,48,1380186954.0,1019658240,35.357799295575745,2227014112.0,1911859200,16.484211389625344,0.34548611111111116,4.0,14.997273763020834,0.1630015432098766,3.805516975308642,0.6000000000000001
8,1152,64,1383135335.0,1359544320,1.7352148549302167,2568245728.0,2549145600,0.7492756788784446,0.00911458333333326,4.0,14.996702406141493,0.005584490740740744,3.8041377314814815,0.6000000000000001
8,1152,80,2064824411.0,1699430400,21.50096944246731,4102175200.0,3186432000,28.738827629147583,0.20729166666666665,3.0,14.997345648871528,0.28560185185185194,3.803310185185185,0.6000000000000001
8,1152,96,2067625419.0,2039316480,1.388158202889627,4443406816.0,3823718400,16.20643444872928,0.0060763888888888395,3.0,14.997046576605904,0.16022376543209882,3.802758487654321,0.6000000000000001
8,1152,112,2754032953.0,2379202560,15.754454845576493,4784638432.0,4461004800,7.254725034144774,0.1498015873015872,3.0,14.997327047681052,0.07066798941798935,3.802364417989418,0.6000000000000001
8,1152,128,2756833621.0,2719088640,1.3881482363149442,5125950898.0,5098291200,0.542528798668856,0.0060763888888888395,3.0,14.996816847059462,0.003501157407407307,3.838622142650463,0.6000000000000001
8,1152,144,4110479697.0,3058974720,34.374425199564904,6650604373.0,5735577600,15.953524419231988,0.3373842592592593,0.0,14.997167516637731,0.15929783950617282,0.10651564107510288,0.6000000000000001
8,1152,160,4112838253.0,3398860800,21.00637522431045,6990812951.0,6372864000,9.696565798360046,0.2036458333333333,0.0,14.996948920355903,0.0967013888888888,0.10584165219907407,0.6000000000000001
8,1152,176,4115197477.0,3738746880,10.068897656960399,7331021529.0,7010150400,4.57723601764664,0.09422348484848486,0.0,14.997181902028094,0.045486111111111116,0.1052902067550505,0.6000000000000001
