n,d,m,ncu_total_flops_fwd,theoretical_total_flops_fwd,percent_diff_fwd,ncu_total_flops_bwd,theoretical_total_flops_bwd,percent_diff_bwd,epsilon_gemm,rho,kappa_fwd,epsilon_gemm_bwd,rho_bwd,kappa_bwd
4,512,128,281280492.0,268697600,4.682919385956555,481300960.0,470220800,2.356373856707317,0.02734375,5.0,14.999923706054688,0.01897321428571419,4.009974888392857,0.7142857142857142
4,512,256,554172408.0,537395200,3.1219497308498476,951396848.0,940441600,1.1649046575566202,0.013671875,3.0,14.999984741210938,0.0107421875,0.22598702566964285,0.7142857142857142
4,1024,16,277413694.0,134283264,106.58843532430073,342364640.0,234995712,45.689739223837414,1.0546875,9.0,14.997039794921875,0.453125,7.468470982142857,0.7142857142857142
4,1024,32,279051804.0,268566528,3.9041633661809114,477630944.0,469991424,1.625459446681308,0.02734375,9.0,14.996307373046875,0.01227678571428581,7.448521205357143,0.7142857142857142
4,1024,64,549715112.0,537133056,2.3424467847311186,947917280.0,939982848,0.8441039128407586,0.013671875,5.0,14.996734619140625,0.006138392857142794,4.009974888392857,0.7142857142857142
4,1024,128,1091041507.0,1074266112,1.5615679218223353,1891707376.0,1879965696,0.6245688431965941,0.0068359375,3.0,14.996526718139648,0.00390625,4.0831298828125,0.7142857142857142
4,1024,256,2171597161.0,2148532224,1.0735206455065018,3771353088.0,3759931392,0.3037740535452834,0.00341796875,0.0,14.996438026428223,0.002580915178571397,0.22433035714285715,0.7142857142857142
8,128,16,150224896.0,4210688,3467.7042801556418,282399200.0,7895040,3476.9191796368355,34.5,65.0,15.0,34.5,103.08229166666666,0.6000000000000001
8,128,32,151552000.0,8421376,1699.6108949416343,283382240.0,15790080,1694.6852707522698,16.75,65.0,15.0,16.75,66.74114583333333,0.6000000000000001
8,128,64,152109056.0,16842752,803.1128404669261,328929760.0,31580160,941.5709103437096,7.875,33.0,15.0,9.298697916666667,38.770572916666666,0.6000000000000001
8,128,128,36569088.0,33685504,8.560311284046692,65049056.0,63160320,2.9903838359273673,0.02734375,0.0,15.0,0.02734375,0.08528645833333333,0.6000000000000001
8,128,256,73138176.0,67371008,8.560311284046692,132583904.0,126320640,4.958226937418937,0.02734375,0.0,15.0,0.04192708333333339,1.4093098958333334,0.6000000000000001
8,256,16,150503424.0,16809984,795.3216374269006,364859872.0,31518720,1057.597364359974,7.875,33.0,15.0,10.463541666666666,67.54114583333333,0.6000000000000001
8,256,32,36765696.0,33619968,9.35672514619883,182981088.0,63037440,190.2736659356725,0.0546875,5.0,15.0,1.8588541666666667,23.770572916666666,0.6000000000000001
8,256,64,73531392.0,67239936,9.35672514619883,130945504.0,126074880,3.8632787118258607,0.0546875,5.0,15.0,0.03281249999999991,2.4186197916666665,0.6000000000000001
8,256,128,147062784.0,134479872,9.35672514619883,258216416.0,252149760,2.405973339018843,0.0546875,5.0,15.0,0.01822916666666674,2.409309895833333,0.6000000000000001
