gpu_config,precision,config_name,batch_size,input_length,forward_tflops_per_joule,backward_tflops_per_joule,total_tflops_per_joule,is_forward_only,forward_energy,backward_energy,forward_gpu_time,backward_gpu_time
l40,fp16,small,8,256,1.6143082871060204,0.541657641041982,2.155965928148002,False,3.1359635,18.69293311111111,15.730136655555555,68.90831569999997
v100,fp32,mid,8,512,2.146188449769289,0.0,2.146188449769289,True,4.717583707865169,0.0,38.59675023333333,0.0
l40,bf16,small,8,256,1.6149867433729772,0.4407344762422425,2.0557212196152195,False,3.134646081081081,22.973401444444445,15.565481111111113,71.46282693333329
v100,fp16,mid,8,512,1.8227945398578345,0.22909249365151996,2.051887033509354,False,5.554561111111111,88.39258377777777,38.61390354444445,345.1939949444445
v100,bf16,mid,8,512,1.8760669185971286,0.02679930148688836,1.902866220084017,False,5.543496292134831,776.1834926666667,53.073158666666664,2663.1187165222213
a100,bf16,mid,8,512,1.445370353822832,0.3662405516007492,1.8116109054235812,False,7.005003,55.291740222222224,27.700768800000002,158.38830026666662
h100,fp16,small,8,256,0.8611375574355553,0.9352066031741236,1.796344160609679,False,5.878749361702128,10.826666555555555,12.111224166666668,33.26991483333332
a40,bf16,small,8,256,1.5096132474287267,0.20027454696439687,1.7098877943931237,False,3.353449550561798,50.556449666666666,22.18032155555556,164.03678004444438
a40,fp16,small,8,256,1.4341085726517178,0.23965388421633102,1.673762456868049,False,3.530006,42.24913811111111,22.761383777777777,154.0107887
h100,fp32,mid,8,512,1.578425414109133,0.058088120074450016,1.636513534183583,False,6.414508771929825,348.6119301111111,12.344853311111113,537.5858334666666
a100,fp32,mid,8,512,1.5477221944350454,0.03632549818208747,1.5840476926171327,False,6.541757752808989,557.4654903333334,29.00414688888889,1443.3222695777774
a40,fp32,small,8,256,1.530084334007987,0.04804207128228737,1.5781264052902746,False,3.3085835555555554,210.7577148888889,22.504584688888887,705.3577387555557
l40,fp32,small,8,256,1.43230191755661,0.08069285685189427,1.5129947744085044,False,3.534458625,125.47872955555556,15.674592855555554,387.7276948777778
h100,bf16,small,8,256,0.8698130305177818,0.6418320885445056,1.5116451190622875,False,5.820115,15.775418888888888,11.947868944444442,34.18244544444445
a100,fp16,small,8,256,0.8891418790440829,0.6054533168157591,1.494595195859842,False,5.693592873563219,16.723287777777777,26.936527444444444,80.19490857777775
